aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
1.57,0.507,0.594,-140.076,-37.903,-1.831,1.839,0.149,0.913,-51.453,142.822,63.11
1.646,0.46,0.686,-157.104,-44.189,-0.488,2.26,0.375,0.821,-12.085,143.555,55.054
1.669,0.426,0.756,-172.485,-48.645,7.324,2.599,0.582,0.667,33.203,122.009,38.879
1.637,0.404,0.789,-185.181,-46.021,18.25,2.818,0.781,0.488,73.547,87.524,17.578
1.555,0.396,0.808,-194.214,-35.645,30.273,2.938,0.931,0.29,96.741,56.641,-5.92
1.409,0.389,0.759,-197.021,-17.151,38.025,2.984,1.087,0.171,99.792,43.945,-37.415
1.264,0.341,0.691,-192.871,7.935,38.879,2.909,1.201,0.112,92.834,45.898,-78.064
1.089,0.259,0.6,-185.12,36.926,35.645,2.705,1.191,0.079,89.294,52.185,-124.451
0.95,0.184,0.476,-176.331,69.214,28.687,2.318,1.13,0.005,95.093,54.199,-167.969
0.801,0.064,0.357,-165.466,96.985,18.005,1.808,0.991,-0.171,113.647,55.786,-203.369
0.862,-0.093,0.261,-155.273,116.15,11.292,1.338,0.88,-0.394,142.517,64.575,-227.478
0.548,-0.373,-0.095,-146.545,115.112,23.682,0.935,0.846,-0.691,167.664,77.393,-236.511
0.321,-0.579,-0.334,-143.372,121.216,35.522,0.647,0.839,-1.015,185.486,90.393,-235.413
0.023,-0.712,-0.731,-141.479,127.991,41.443,0.487,0.866,-1.298,191.65,101.196,-230.103
-0.126,-0.701,-1.131,-137.451,144.897,45.593,0.27,0.91,-1.632,185.303,105.408,-227.112
-0.06,-0.591,-1.461,-124.329,165.955,44.617,0.01,0.807,-1.909,175.659,100.586,-229.858
-0.124,-0.441,-1.655,-100.281,174.683,39.612,-0.254,0.602,-2.131,159.851,88.623,-234.802
-0.297,-0.379,-1.701,-64.331,185.242,7.751,-0.536,0.312,-2.235,130.737,72.693,-241.821
-0.434,-0.287,-1.734,-38.086,176.88,-26.917,-0.731,0.086,-2.224,86.853,55.664,-245.972
-0.46,-0.152,-1.844,-23.56,179.626,-25.574,-0.865,-0.094,-2.075,43.396,35.034,-242.126
-0.509,-0.078,-1.999,-13.0,173.706,-22.461,-0.895,-0.198,-1.862,14.587,5.859,-226.929
-0.513,-0.038,-2.14,-13.306,167.603,-23.071,-0.865,-0.267,-1.608,3.601,-29.053,-204.651
-0.36,-0.051,-2.091,-25.879,152.222,-25.208,-0.791,-0.293,-1.396,6.47,-64.209,-180.054
-0.401,0.047,-2.076,-41.809,106.018,-36.072,-0.746,-0.314,-1.253,18.005,-91.858,-156.799
-0.41,0.135,-1.924,-61.646,56.335,-43.396,-0.777,-0.337,-1.199,33.569,-105.347,-138.062
-0.305,0.173,-1.804,-80.383,16.846,-44.189,-0.869,-0.404,-1.205,44.373,-103.21,-127.197
-0.459,0.2,-1.699,-87.463,-23.071,-55.969,-1.091,-0.53,-1.259,45.227,-88.318,-126.099
-0.341,0.236,-1.465,-87.036,-38.696,-77.026,-1.449,-0.712,-1.322,34.79,-62.561,-138.672
-0.127,0.16,-1.304,-74.158,-39.001,-95.337,-1.843,-1.027,-1.415,14.893,-32.41,-161.255
