aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.491,1.983,0.773,112.671,-20.386,8.484,0.536,-1.297,1.112,-70.923,-13.428,8.362
0.655,1.918,1.032,146.973,-37.537,31.25,0.67,-1.261,1.242,-88.562,-15.869,-10.132
0.804,1.763,1.35,165.833,-52.368,65.186,0.726,-1.169,1.373,-100.403,-23.01,-36.926
0.891,1.557,1.561,154.358,-56.335,108.337,0.765,-1.04,1.469,-102.234,-32.41,-68.97
0.951,1.232,1.611,113.342,-52.673,156.555,0.717,-0.87,1.507,-89.6,-42.664,-101.074
0.918,0.838,1.471,52.49,-45.105,206.665,0.695,-0.661,1.507,-63.171,-51.453,-129.211
0.646,0.448,1.197,-12.39,-36.804,247.009,0.684,-0.362,1.445,-28.931,-53.04,-151.978
0.277,0.002,0.835,-67.322,-28.32,265.076,0.637,-0.101,1.243,9.338,-48.462,-171.326
-0.013,-0.306,0.493,-99.854,-18.494,252.502,0.543,0.088,1.022,47.18,-43.03,-184.57
-0.164,-0.555,0.224,-99.182,-18.982,216.553,0.52,0.346,0.749,75.562,-37.476,-186.768
-0.13,-0.804,0.063,-55.176,-17.456,167.603,0.434,0.524,0.572,88.257,-30.396,-179.565
-0.052,-1.117,0.164,12.817,-15.991,127.319,0.411,0.677,0.352,78.125,-23.437,-164.429
-0.015,-1.487,0.508,74.829,-20.264,100.281,0.418,0.935,0.766,45.593,-18.86,-142.944
-0.017,-1.859,1.047,107.117,-16.052,81.177,0.348,1.199,0.634,31.86,-1.282,-123.108
0.021,-2.079,1.491,100.037,2.136,63.049,0.312,1.435,0.773,16.113,1.953,-101.807
1.308,-4.0,3.605,47.607,30.762,49.133,-1.785,4.0,-4.0,-123.169,-29.663,-80.811
-0.828,-0.802,0.439,-228.455,142.212,45.227,-0.606,1.979,1.432,-706.299,-266.357,-13.611
-0.996,-1.879,-1.01,-276.306,160.522,5.798,-1.444,1.947,1.254,-760.864,-156.067,162.231
-0.074,-3.189,0.925,109.863,-6.531,-59.692,-0.063,2.492,1.712,-609.985,-36.377,186.584
0.229,-2.908,1.925,218.018,-33.997,-101.99,0.723,2.691,1.474,-219.116,80.75,151.062
0.757,-2.447,1.488,64.331,-3.296,-81.421,0.954,2.054,1.007,127.38,118.774,109.68
0.444,-2.215,1.516,-85.022,24.231,-39.795,0.426,2.481,0.113,294.556,134.277,92.773
0.368,-2.062,1.28,-169.434,49.133,-16.479,0.134,2.357,0.289,276.917,106.384,35.461
0.49,-1.595,0.448,-217.224,77.637,-0.977,0.114,1.75,0.13,238.037,85.327,-24.841
0.211,-1.168,0.159,-171.631,62.866,3.174,-0.055,1.503,0.063,218.567,86.609,-27.588
0.098,-1.162,0.339,-83.74,25.696,2.991,0.005,1.452,0.151,203.064,81.238,-13.0
0.113,-1.202,0.481,-24.719,-0.427,9.705,0.182,1.323,0.248,174.255,63.782,-16.785
0.029,-1.228,0.675,6.226,-18.677,16.479,0.246,1.134,0.414,126.16,37.292,-25.452
-0.066,-1.292,0.886,18.799,-23.926,17.273,0.284,0.994,0.791,79.224,10.742,-23.315
-0.049,-1.3,1.06,8.423,-7.263,9.033,0.351,0.85,1.067,53.711,-3.906,-13.672
0.04,-1.177,1.114,-17.761,19.592,-6.042,0.4,0.726,1.231,46.57,-9.033,-3.479
0.149,-1.023,1.11,-41.87,38.391,-25.818,0.448,0.563,1.32,52.002,-7.446,3.357
0.298,-0.85,1.108,-50.903,41.809,-46.631,0.443,0.329,1.266,65.918,0.488,9.827
0.446,-0.577,1.082,-44.25,32.715,-67.017,0.356,0.079,1.206,77.209,7.324,18.005
0.572,-0.337,1.057,-23.376,11.963,-84.229,0.304,-0.106,1.17,79.895,12.817,28.809
0.604,-0.091,1.05,3.174,-10.803,-94.849,0.298,-0.255,1.156,73.425,18.738,41.077
0.568,0.151,1.059,26.733,-24.231,-100.586,0.32,-0.382,1.116,61.584,22.888,54.749
0.523,0.408,1.09,39.001,-24.597,-104.614,0.354,-0.492,1.123,47.119,22.4,68.542
0.464,0.719,1.071,36.316,-13.733,-108.215,0.384,-0.594,1.141,35.95,19.836,79.895
0.404,1.025,1.043,24.231,-0.183,-110.413,0.404,-0.693,1.13,31.677,16.418,87.585
0.366,1.25,1.017,12.39,11.841,-107.788,0.446,-0.765,1.103,33.936,13.55,90.271
0.342,1.396,1.021,8.728,20.142,-100.342,0.44,-0.825,1.033,40.71,12.939,85.205
0.332,1.428,1.069,15.747,22.827,-91.553,0.388,-0.907,0.946,46.57,10.742,73.73
0.341,1.352,1.143,27.771,20.386,-80.933,0.316,-0.95,0.894,49.133,5.188,61.646
0.325,1.218,1.216,37.537,15.625,-67.139,0.246,-0.935,0.87,49.561,2.258,51.208
0.279,1.042,1.272,42.603,8.972,-55.237,0.175,-0.907,0.842,47.913,2.258,42.786
0.237,0.874,1.289,43.152,1.77,-47.058,0.124,-0.878,0.825,42.419,2.014,39.185
0.199,0.708,1.279,38.391,-4.211,-40.405,0.114,-0.829,0.821,33.203,-0.183,39.673
0.14,0.568,1.258,28.931,-9.888,-34.241,0.119,-0.763,0.817,22.4,-2.258,40.71
0.077,0.464,1.204,14.832,-14.221,-29.846,0.126,-0.698,0.84,11.414,-2.502,39.368
0.015,0.392,1.128,-1.16,-15.93,-27.527,0.162,-0.593,0.873,2.197,-0.122,36.499
-0.014,0.344,1.037,-16.907,-16.052,-28.625,0.197,-0.468,0.905,-4.089,2.258,31.799
-0.013,0.339,0.932,-29.968,-14.587,-31.677,0.195,-0.359,0.94,-7.629,2.38,26.001
