aX,aY,aZ,gX,gY,gZ
1.570,0.507,0.594,-140.076,-37.903,-1.831
1.646,0.460,0.686,-157.104,-44.189,-0.488
1.669,0.426,0.756,-172.485,-48.645,7.324
1.637,0.404,0.789,-185.181,-46.021,18.250
1.555,0.396,0.808,-194.214,-35.645,30.273
1.409,0.389,0.759,-197.021,-17.151,38.025
1.264,0.341,0.691,-192.871,7.935,38.879
1.089,0.259,0.600,-185.120,36.926,35.645
0.950,0.184,0.476,-176.331,69.214,28.687
0.801,0.064,0.357,-165.466,96.985,18.005
0.862,-0.093,0.261,-155.273,116.150,11.292
0.548,-0.373,-0.095,-146.545,115.112,23.682
0.321,-0.579,-0.334,-143.372,121.216,35.522
0.023,-0.712,-0.731,-141.479,127.991,41.443
-0.126,-0.701,-1.131,-137.451,144.897,45.593
-0.060,-0.591,-1.461,-124.329,165.955,44.617
-0.124,-0.441,-1.655,-100.281,174.683,39.612
-0.297,-0.379,-1.701,-64.331,185.242,7.751
-0.434,-0.287,-1.734,-38.086,176.880,-26.917
-0.460,-0.152,-1.844,-23.560,179.626,-25.574
-0.509,-0.078,-1.999,-13.000,173.706,-22.461
-0.513,-0.038,-2.140,-13.306,167.603,-23.071
-0.360,-0.051,-2.091,-25.879,152.222,-25.208
-0.401,0.047,-2.076,-41.809,106.018,-36.072
-0.410,0.135,-1.924,-61.646,56.335,-43.396
-0.305,0.173,-1.804,-80.383,16.846,-44.189
-0.459,0.200,-1.699,-87.463,-23.071,-55.969
-0.341,0.236,-1.465,-87.036,-38.696,-77.026
-0.127,0.160,-1.304,-74.158,-39.001,-95.337
0.223,-0.085,-1.162,-43.213,-32.593,-107.117
0.628,-0.439,-0.983,1.221,-32.288,-104.736
0.909,-0.772,-0.807,50.781,-30.945,-82.581
0.955,-0.827,-0.711,92.102,-18.860,-38.208
0.839,-0.391,-0.804,103.516,1.160,18.799
0.578,0.179,-0.874,81.055,5.432,61.829
0.345,0.543,-0.971,43.518,-18.860,71.716
0.141,0.818,-0.977,1.892,-54.932,54.077
0.078,0.992,-0.988,-27.710,-75.989,25.208
0.150,0.987,-0.991,-31.860,-73.792,-4.456
0.290,0.798,-0.969,-14.893,-57.556,-30.457
0.470,0.508,-0.921,9.888,-38.940,-49.377
0.618,0.147,-0.854,34.058,-24.231,-58.838
0.730,-0.167,-0.771,49.316,-13.794,-57.129
0.791,-0.359,-0.709,52.246,-7.263,-46.265
0.815,-0.372,-0.694,45.715,-2.380,-30.273
0.779,-0.260,-0.714,33.936,4.700,-12.085
0.714,-0.109,-0.762,22.400,9.705,1.221
0.640,0.011,-0.810,14.832,8.972,7.751
0.591,0.097,-0.840,9.644,4.456,9.521
0.569,0.165,-0.837,3.967,-1.282,8.789
0.564,0.213,-0.829,-2.075,-4.822,6.165
0.571,0.248,-0.818,-5.310,-6.165,3.601
0.597,0.245,-0.793,-4.456,-7.446,0.671
0.604,0.177,-0.761,-0.244,-8.301,-1.221
0.604,0.120,-0.724,5.188,-6.714,1.404
0.603,0.082,-0.687,6.104,-2.930,6.348
0.581,0.087,-0.678,2.625,2.686,11.597
0.550,0.139,-0.725,-2.502,10.193,15.198
0.534,0.189,-0.789,-6.226,14.771,14.221
0.524,0.214,-0.825,-8.728,15.137,10.132
0.521,0.226,-0.846,-9.644,15.015,6.165
0.532,0.221,-0.873,-7.568,15.503,2.930
0.547,0.208,-0.899,-3.845,16.052,-0.366
0.568,0.182,-0.909,0.061,15.076,-2.075
0.583,0.144,-0.899,3.479,11.963,-2.686
0.588,0.106,-0.881,5.188,8.423,-2.197
0.581,0.089,-0.857,4.761,4.883,-0.793
0.577,0.092,-0.831,2.502,1.587,1.099
0.567,0.099,-0.813,-0.793,-0.244,2.625
0.557,0.129,-0.821,-3.113,-0.549,4.272
0.554,0.156,-0.823,-3.784,-1.099,4.089
0.549,0.174,-0.831,-3.296,-1.648,2.747
0.550,0.181,-0.830,-1.465,-2.075,0.549
0.555,0.168,-0.822,1.770,-1.648,-1.343
0.566,0.147,-0.816,5.005,-0.305,-2.380
0.572,0.125,-0.808,6.775,1.221,-2.808
0.589,0.102,-0.800,7.385,2.014,-3.052
0.598,0.095,-0.803,6.409,2.808,-3.113
0.601,0.092,-0.798,3.784,4.272,-2.747
0.599,0.089,-0.810,1.587,6.226,-1.831
0.604,0.098,-0.825,0.122,8.057,-0.244
0.599,0.110,-0.844,-0.366,9.033,1.404
0.589,0.126,-0.864,-0.061,9.094,2.991
0.571,0.155,-0.877,0.977,8.423,4.211
0.556,0.184,-0.884,2.869,6.714,4.333
0.547,0.186,-0.880,4.150,4.944,3.418
