aX,aY,aZ,gX,gY,gZ
1.839,0.149,0.913,-51.453,142.822,63.110
2.260,0.375,0.821,-12.085,143.555,55.054
2.599,0.582,0.667,33.203,122.009,38.879
2.818,0.781,0.488,73.547,87.524,17.578
2.938,0.931,0.290,96.741,56.641,-5.920
2.984,1.087,0.171,99.792,43.945,-37.415
2.909,1.201,0.112,92.834,45.898,-78.064
2.705,1.191,0.079,89.294,52.185,-124.451
2.318,1.130,0.005,95.093,54.199,-167.969
1.808,0.991,-0.171,113.647,55.786,-203.369
1.338,0.880,-0.394,142.517,64.575,-227.478
0.935,0.846,-0.691,167.664,77.393,-236.511
0.647,0.839,-1.015,185.486,90.393,-235.413
0.487,0.866,-1.298,191.650,101.196,-230.103
0.270,0.910,-1.632,185.303,105.408,-227.112
0.010,0.807,-1.909,175.659,100.586,-229.858
-0.254,0.602,-2.131,159.851,88.623,-234.802
-0.536,0.312,-2.235,130.737,72.693,-241.821
-0.731,0.086,-2.224,86.853,55.664,-245.972
-0.865,-0.094,-2.075,43.396,35.034,-242.126
-0.895,-0.198,-1.862,14.587,5.859,-226.929
-0.865,-0.267,-1.608,3.601,-29.053,-204.651
-0.791,-0.293,-1.396,6.470,-64.209,-180.054
-0.746,-0.314,-1.253,18.005,-91.858,-156.799
-0.777,-0.337,-1.199,33.569,-105.347,-138.062
-0.869,-0.404,-1.205,44.373,-103.210,-127.197
-1.091,-0.530,-1.259,45.227,-88.318,-126.099
-1.449,-0.712,-1.322,34.790,-62.561,-138.672
-1.843,-1.027,-1.415,14.893,-32.410,-161.255
-1.758,-1.427,-1.370,-14.832,0.427,-167.725
-1.231,-1.499,-1.062,-59.204,30.762,-123.901
-0.712,-1.175,-0.734,-90.759,38.940,-42.664
-0.226,-0.801,-0.455,-75.806,25.208,25.574
0.198,-0.538,-0.430,-22.888,-12.451,61.584
0.532,-0.358,-0.485,32.837,-59.204,70.618
0.695,-0.332,-0.553,65.430,-94.604,58.350
0.672,-0.415,-0.598,70.313,-110.840,32.593
0.523,-0.561,-0.584,52.673,-103.210,2.686
0.381,-0.696,-0.546,24.048,-70.984,-24.536
0.228,-0.759,-0.524,-1.465,-27.527,-42.847
0.132,-0.812,-0.529,-13.672,13.000,-49.194
0.122,-0.840,-0.567,-11.230,42.297,-41.626
0.174,-0.797,-0.647,1.038,54.810,-23.010
0.251,-0.729,-0.744,18.372,50.232,1.221
0.363,-0.645,-0.828,36.682,34.241,24.780
0.469,-0.577,-0.907,50.903,14.404,40.771
0.544,-0.512,-0.976,56.824,-2.625,46.265
0.608,-0.451,-1.013,52.185,-13.428,39.124
0.597,-0.433,-1.021,39.001,-18.127,23.010
0.523,-0.475,-0.980,21.912,-15.259,3.784
0.432,-0.518,-0.923,6.226,-4.822,-9.888
0.363,-0.560,-0.879,-3.723,7.141,-15.564
0.316,-0.593,-0.826,-8.240,15.137,-16.541
0.280,-0.625,-0.795,-7.568,16.235,-14.709
0.263,-0.656,-0.776,-2.747,12.573,-9.705
0.265,-0.660,-0.754,1.709,6.897,-3.906
0.305,-0.631,-0.723,4.761,2.136,3.052
0.340,-0.584,-0.696,7.690,-0.488,8.423
0.349,-0.559,-0.683,11.169,-1.770,10.071
0.344,-0.544,-0.695,13.794,-0.854,9.094
0.352,-0.539,-0.701,15.015,3.479,7.324
0.337,-0.537,-0.724,15.076,7.690,4.150
0.323,-0.535,-0.756,15.564,10.132,1.831
0.341,-0.547,-0.782,15.930,11.108,2.991
0.340,-0.545,-0.802,15.503,10.010,4.028
0.347,-0.552,-0.807,15.930,7.446,4.761
0.360,-0.558,-0.812,17.212,3.418,7.324
0.373,-0.554,-0.814,17.700,-0.671,9.155
0.383,-0.552,-0.806,17.212,-3.906,9.949
0.387,-0.543,-0.794,14.893,-5.859,10.010
0.396,-0.527,-0.773,11.658,-5.493,9.338
0.410,-0.516,-0.760,8.484,-2.625,7.690
0.425,-0.522,-0.748,7.385,0.061,5.310
0.428,-0.528,-0.749,7.751,1.770,2.563
0.431,-0.526,-0.757,8.911,2.991,0.610
0.430,-0.528,-0.767,10.498,3.906,-0.916
0.423,-0.529,-0.786,11.841,4.456,-2.014
0.418,-0.533,-0.805,12.146,5.127,-2.380
0.412,-0.535,-0.821,12.085,5.615,-2.319
0.406,-0.536,-0.828,11.230,5.615,-2.258
0.396,-0.536,-0.834,11.047,4.822,-1.953
0.385,-0.538,-0.844,10.742,3.235,-1.709
0.374,-0.536,-0.848,9.949,1.770,-1.648
0.368,-0.539,-0.853,8.362,1.282,-1.953
0.364,-0.542,-0.850,6.714,1.038,-2.563
0.354,-0.541,-0.844,4.700,0.671,-3.418
0.354,-0.538,-0.831,3.296,0.488,-4.272
0.356,-0.535,-0.819,2.258,0.488,-5.554
0.349,-0.541,-0.804,1.953,0.732,-6.653
0.339,-0.541,-0.799,1.953,1.221,-6.775
0.330,-0.534,-0.798,2.136,1.892,-5.615
0.329,-0.528,-0.791,1.343,2.869,-4.272
0.328,-0.526,-0.788,0.793,3.052,-2.747
0.326,-0.530,-0.786,1.404,2.319,-1.160
0.329,-0.525,-0.781,2.075,0.916,0.732
0.339,-0.523,-0.783,2.686,-0.122,2.380
0.344,-0.525,-0.785,3.662,-0.183,3.479
0.348,-0.527,-0.783,4.089,0.183,3.967
0.350,-0.524,-0.783,3.967,0.854,4.089
0.353,-0.521,-0.785,4.456,1.221,3.967
0.354,-0.520,-0.788,4.944,1.221,3.723
0.357,-0.512,-0.794,5.066,1.587,3.540
0.363,-0.510,-0.797,6.165,2.258,3.357
0.364,-0.515,-0.798,7.141,2.258,2.686
0.362,-0.517,-0.804,7.935,1.709,2.197
0.362,-0.518,-0.805,8.545,1.526,1.831
0.359,-0.520,-0.809,8.789,1.465,1.831
0.359,-0.517,-0.820,8.484,1.587,2.197
0.359,-0.519,-0.827,7.812,2.380,2.747
0.365,-0.516,-0.835,6.470,2.991,3.296
0.372,-0.508,-0.840,5.005,3.418,3.479
0.380,-0.503,-0.841,4.089,2.991,3.052
0.384,-0.504,-0.837,3.357,1.770,2.136
0.381,-0.509,-0.835,2.747,0.305,1.221
0.379,-0.510,-0.827,2.380,-0.671,0.977
0.377,-0.514,-0.819,1.831,-1.099,0.610
0.376,-0.518,-0.815,1.648,-0.977,0.244
0.374,-0.516,-0.812,1.770,-0.671,-0.549
0.370,-0.517,-0.812,2.319,-0.671,-0.977
0.523,-0.821,1.340,8.179,-1.282,29.480
0.593,-0.687,1.465,22.339,20.752,38.757
0.732,-0.559,1.522,44.250,47.119,49.377
0.923,-0.404,1.529,70.618,66.650,58.899
1.160,-0.129,1.500,97.168,75.745,65.491
1.520,0.334,1.427,121.643,82.031,68.726
1.907,0.790,1.238,147.156,91.309,59.692
2.310,1.156,0.978,178.284,100.586,30.945
2.569,1.407,0.649,207.703,108.154,-13.489
2.635,1.543,0.273,229.370,111.755,-65.735
2.625,1.605,-0.063,240.845,111.389,-118.286
2.485,1.574,-0.304,247.437,118.103,-158.020
2.235,1.479,-0.632,252.197,129.028,-187.195
1.935,1.417,-1.068,257.507,130.371,-212.402
1.516,1.304,-1.573,265.015,129.211,-234.253
1.044,1.026,-2.096,269.653,126.404,-250.488
0.667,0.675,-2.413,255.554,118.103,-255.554
0.406,0.425,-2.409,216.309,93.872,-254.822
0.186,0.423,-2.248,165.527,49.133,-253.113
-0.193,0.437,-1.977,139.160,-7.202,-247.864
-0.636,0.292,-1.986,136.719,-47.363,-237.000
-0.946,0.001,-2.134,139.038,-48.035,-222.412
-1.037,-0.254,-2.307,122.803,-18.555,-198.120
-0.916,-0.401,-2.347,88.379,10.986,-170.288
-0.807,-0.452,-2.218,51.147,17.029,-147.400
-0.725,-0.462,-2.042,26.428,-8.057,-128.540
-0.650,-0.478,-1.795,15.137,-45.105,-110.840
-0.566,-0.460,-1.526,11.047,-83.618,-92.712
-0.503,-0.433,-1.289,9.460,-115.295,-76.599
-0.491,-0.424,-1.089,9.399,-131.287,-66.345
-0.508,-0.489,-0.923,9.460,-127.991,-63.232
-0.565,-0.626,-0.796,4.944,-108.948,-63.965
-0.618,-0.750,-0.720,-5.493,-76.782,-62.744
-0.555,-0.852,-0.670,-17.883,-35.522,-56.030
-0.364,-0.918,-0.626,-24.292,0.916,-40.466
-0.103,-0.900,-0.607,-20.508,21.912,-17.944
0.149,-0.827,-0.613,-10.010,23.743,2.747
0.344,-0.724,-0.658,1.709,12.329,18.433
0.505,-0.627,-0.676,10.132,-1.953,29.297
0.629,-0.523,-0.689,14.221,-13.000,34.424
0.735,-0.446,-0.708,15.076,-20.020,30.579
0.772,-0.427,-0.724,15.320,-23.804,19.043
0.740,-0.478,-0.741,13.245,-24.658,3.906
0.667,-0.525,-0.736,8.545,-21.362,-7.812
0.573,-0.533,-0.715,2.563,-14.160,-15.259
0.487,-0.544,-0.687,-0.671,-5.554,-18.921
0.407,-0.564,-0.673,-0.122,-0.305,-20.508
0.324,-0.580,-0.672,2.625,3.540,-17.700
0.290,-0.585,-0.680,4.639,7.568,-10.010
0.302,-0.580,-0.671,5.981,10.071,-0.610
0.346,-0.563,-0.661,8.667,9.949,6.836
0.413,-0.555,-0.664,12.695,7.751,11.169
0.505,-0.561,-0.672,15.747,4.517,13.184
0.560,-0.554,-0.674,17.273,0.183,11.902
0.564,-0.556,-0.665,17.883,-2.930,6.958
0.544,-0.584,-0.668,18.188,-2.319,2.563
0.520,-0.593,-0.675,16.602,2.502,-0.366
0.517,-0.593,-0.680,14.526,9.583,-2.197
0.505,-0.582,-0.693,12.512,14.954,-2.686
0.510,-0.577,-0.691,13.916,15.747,-2.441
0.417,-0.577,-0.738,17.883,11.719,-2.808
0.433,-0.570,-0.757,19.775,11.047,0.488
0.448,-0.562,-0.789,20.020,11.230,5.798
0.471,-0.556,-0.806,19.531,10.498,7.507
0.499,-0.550,-0.830,19.409,7.629,6.897
0.511,-0.552,-0.839,18.066,4.150,6.287
0.516,-0.544,-0.835,14.893,0.977,4.456
0.505,-0.542,-0.821,11.902,-1.953,2.319
0.489,-0.543,-0.801,8.667,-3.845,0.183
0.471,-0.542,-0.776,6.042,-5.310,-1.038
0.460,-0.543,-0.740,3.845,-6.348,-0.916
0.458,-0.537,-0.704,3.784,-7.385,0.183
0.453,-0.537,-0.684,5.249,-8.301,1.343
0.446,-0.548,-0.681,6.958,-8.728,2.441
0.450,-0.560,-0.687,7.324,-7.385,3.540
0.461,-0.557,-0.694,6.409,-4.333,4.395
0.487,-0.542,-0.707,5.188,-1.831,5.005
0.507,-0.526,-0.720,5.127,-0.854,4.761
0.518,-0.515,-0.738,5.493,-1.099,3.174
0.512,-0.522,-0.753,6.104,-1.831,0.916
0.500,-0.531,-0.756,5.493,-2.136,-1.282
0.486,-0.535,-0.747,3.967,-1.526,-2.686
0.468,-0.547,-0.743,3.174,-1.099,-3.479
0.454,-0.558,-0.737,3.296,-0.916,-3.174
0.450,-0.562,-0.729,3.540,-0.427,-2.319
0.451,-0.566,-0.725,4.333,0.000,-0.977
0.455,-0.563,-0.728,5.554,0.244,0.793
0.463,-0.557,-0.734,6.165,0.916,2.319
0.473,-0.550,-0.741,6.470,2.014,3.357
0.487,-0.527,-0.743,6.104,3.357,3.784
0.492,-0.517,-0.750,5.554,4.333,2.991
0.487,-0.515,-0.757,4.517,4.700,1.770
0.484,-0.512,-0.754,2.441,5.371,0.427
0.475,-0.510,-0.749,0.793,6.165,-1.099
0.473,-0.510,-0.746,-0.122,6.836,-2.197
0.476,-0.519,-0.746,0.244,6.897,-2.136
0.478,-0.537,-0.746,0.610,6.348,-1.770
0.477,-0.547,-0.744,0.916,5.432,-1.648
0.473,-0.552,-0.741,1.709,4.395,-1.099
0.470,-0.552,-0.739,2.686,3.296,-0.183
0.471,-0.545,-0.743,3.479,2.502,0.916
0.471,-0.534,-0.745,4.028,2.686,2.319
0.471,-0.520,-0.746,3.784,3.479,2.747
0.472,-0.513,-0.750,3.601,4.700,2.502
0.470,-0.513,-0.752,3.174,5.310,1.892
0.469,-0.519,-0.748,2.319,5.432,1.221
0.469,-0.529,-0.743,2.319,4.639,0.793
0.463,-0.540,-0.741,2.869,3.235,0.610
0.464,-0.546,-0.739,3.113,2.197,0.732
0.471,-0.541,-0.737,3.296,2.014,1.343
0.479,-0.535,-0.737,3.479,2.380,1.892
0.482,-0.529,-0.738,3.784,2.258,2.136
0.485,-0.523,-0.748,3.784,1.831,2.258
0.484,-0.516,-0.755,3.418,2.075,2.747
0.484,-0.514,-0.756,2.197,2.991,2.563
0.486,-0.517,-0.752,1.343,3.052,1.770
0.489,-0.517,-0.744,0.854,2.808,1.099
0.487,-0.521,-0.737,0.854,1.831,0.427
0.478,-0.523,-0.734,1.038,1.099,0.183
0.626,-0.934,1.138,-60.791,15.320,7.507
0.634,-0.849,1.381,-65.308,26.550,10.925
0.634,-0.742,1.620,-59.021,43.335,16.785
0.651,-0.544,1.762,-38.574,61.768,24.048
0.718,-0.337,1.826,-3.784,81.299,32.349
0.801,-0.109,1.781,40.344,99.731,40.344
0.958,0.177,1.615,88.562,119.507,49.316
1.215,0.398,1.345,134.888,142.334,60.120
1.539,0.652,0.998,171.692,165.405,62.744
2.002,1.040,0.594,196.838,183.167,46.814
2.341,1.380,0.192,214.966,185.120,4.883
2.471,1.480,-0.162,231.445,167.297,-58.777
2.337,1.532,-0.574,238.831,139.099,-121.521
2.103,1.368,-0.884,233.765,131.775,-162.109
1.944,1.207,-1.046,220.459,138.062,-190.063
1.726,1.141,-1.243,207.092,130.676,-211.609
1.425,1.072,-1.416,204.529,117.493,-228.760
0.967,0.948,-1.700,210.388,101.685,-242.371
0.472,0.661,-2.043,217.346,89.539,-248.657
0.115,0.434,-2.407,211.792,86.853,-244.507
-0.182,0.010,-2.544,191.467,79.651,-232.300
-0.340,-0.236,-2.481,158.386,48.706,-214.111
-0.477,-0.241,-2.224,113.953,2.808,-195.679
-0.572,-0.159,-1.921,84.106,-41.626,-176.697
-0.592,-0.198,-1.734,77.698,-71.533,-155.579
-0.559,-0.293,-1.612,80.444,-79.224,-134.888
-0.524,-0.329,-1.507,77.087,-74.646,-118.713
-0.474,-0.344,-1.406,68.909,-67.383,-105.713
-0.401,-0.407,-1.310,61.951,-63.293,-94.971
-0.366,-0.443,-1.251,55.420,-60.547,-84.106
-0.341,-0.487,-1.222,50.171,-57.922,-73.547
-0.322,-0.562,-1.216,46.753,-55.786,-64.453
-0.326,-0.660,-1.213,40.588,-50.903,-59.448
-0.329,-0.747,-1.176,29.236,-41.992,-56.396
-0.312,-0.833,-1.120,15.625,-30.945,-52.063
-0.219,-0.908,-1.036,3.113,-20.264,-45.837
-0.093,-0.921,-0.956,-4.700,-13.306,-35.950
0.083,-0.863,-0.870,-5.493,-11.841,-21.667
0.277,-0.780,-0.802,-1.282,-15.869,-5.676
0.423,-0.664,-0.767,3.601,-23.437,8.179
0.557,-0.550,-0.725,8.057,-31.677,17.517
0.638,-0.461,-0.709,11.902,-37.781,19.531
