aX,aY,aZ,gX,gY,gZ
0.491,1.983,0.773,112.671,-20.386,8.484
0.655,1.918,1.032,146.973,-37.537,31.250
0.804,1.763,1.350,165.833,-52.368,65.186
0.891,1.557,1.561,154.358,-56.335,108.337
0.951,1.232,1.611,113.342,-52.673,156.555
0.918,0.838,1.471,52.490,-45.105,206.665
0.646,0.448,1.197,-12.390,-36.804,247.009
0.277,0.002,0.835,-67.322,-28.320,265.076
-0.013,-0.306,0.493,-99.854,-18.494,252.502
-0.164,-0.555,0.224,-99.182,-18.982,216.553
-0.130,-0.804,0.063,-55.176,-17.456,167.603
-0.052,-1.117,0.164,12.817,-15.991,127.319
-0.015,-1.487,0.508,74.829,-20.264,100.281
-0.017,-1.859,1.047,107.117,-16.052,81.177
0.021,-2.079,1.491,100.037,2.136,63.049
1.308,-4.000,3.605,47.607,30.762,49.133
-0.828,-0.802,0.439,-228.455,142.212,45.227
-0.996,-1.879,-1.010,-276.306,160.522,5.798
-0.074,-3.189,0.925,109.863,-6.531,-59.692
0.229,-2.908,1.925,218.018,-33.997,-101.990
0.757,-2.447,1.488,64.331,-3.296,-81.421
0.444,-2.215,1.516,-85.022,24.231,-39.795
0.368,-2.062,1.280,-169.434,49.133,-16.479
0.490,-1.595,0.448,-217.224,77.637,-0.977
0.211,-1.168,0.159,-171.631,62.866,3.174
0.098,-1.162,0.339,-83.740,25.696,2.991
0.113,-1.202,0.481,-24.719,-0.427,9.705
0.029,-1.228,0.675,6.226,-18.677,16.479
-0.066,-1.292,0.886,18.799,-23.926,17.273
-0.049,-1.300,1.060,8.423,-7.263,9.033
0.040,-1.177,1.114,-17.761,19.592,-6.042
0.149,-1.023,1.110,-41.870,38.391,-25.818
0.298,-0.850,1.108,-50.903,41.809,-46.631
0.446,-0.577,1.082,-44.250,32.715,-67.017
0.572,-0.337,1.057,-23.376,11.963,-84.229
0.604,-0.091,1.050,3.174,-10.803,-94.849
0.568,0.151,1.059,26.733,-24.231,-100.586
0.523,0.408,1.090,39.001,-24.597,-104.614
0.464,0.719,1.071,36.316,-13.733,-108.215
0.404,1.025,1.043,24.231,-0.183,-110.413
0.366,1.250,1.017,12.390,11.841,-107.788
0.342,1.396,1.021,8.728,20.142,-100.342
0.332,1.428,1.069,15.747,22.827,-91.553
0.341,1.352,1.143,27.771,20.386,-80.933
0.325,1.218,1.216,37.537,15.625,-67.139
0.279,1.042,1.272,42.603,8.972,-55.237
0.237,0.874,1.289,43.152,1.770,-47.058
0.199,0.708,1.279,38.391,-4.211,-40.405
0.140,0.568,1.258,28.931,-9.888,-34.241
0.077,0.464,1.204,14.832,-14.221,-29.846
0.015,0.392,1.128,-1.160,-15.930,-27.527
-0.014,0.344,1.037,-16.907,-16.052,-28.625
-0.013,0.339,0.932,-29.968,-14.587,-31.677
0.005,0.358,0.841,-36.377,-12.817,-35.034
0.043,0.377,0.755,-34.912,-10.437,-36.926
0.066,0.396,0.697,-26.062,-10.803,-36.255
0.078,0.379,0.671,-12.024,-14.282,-33.569
0.083,0.333,0.683,1.343,-18.250,-30.273
0.086,0.276,0.712,11.047,-20.264,-26.306
0.083,0.206,0.750,14.771,-19.714,-21.912
0.060,0.141,0.788,12.024,-17.273,-17.273
0.048,0.104,0.806,4.150,-13.794,-13.977
0.044,0.087,0.814,-4.883,-9.949,-11.658
0.050,0.084,0.817,-13.123,-5.188,-10.071
0.065,0.073,0.810,-18.005,0.000,-8.179
0.073,0.046,0.803,-18.860,4.639,-6.409
0.069,0.009,0.809,-15.564,7.507,-4.700
0.058,-0.030,0.822,-8.179,8.789,-3.845
0.059,-0.068,0.851,1.892,8.484,-3.357
0.045,-0.108,0.900,13.306,7.263,-2.563
0.028,-0.154,0.958,23.743,5.493,-1.282
0.015,-0.194,1.010,28.320,4.395,-0.488
-0.004,-0.218,1.054,26.123,4.211,-0.305
-0.016,-0.231,1.078,18.982,5.188,-1.160
-0.018,-0.232,1.082,9.583,6.531,-2.441
-0.010,-0.211,1.065,0.366,8.240,-4.150
0.007,-0.182,1.038,-5.920,9.338,-6.104
0.033,-0.149,1.008,-7.568,8.606,-7.446
0.054,-0.118,0.996,-4.211,5.615,-7.568
0.062,-0.109,0.995,1.892,0.854,-6.470
0.070,-0.109,1.001,7.996,-3.174,-4.272
0.071,-0.104,1.003,10.986,-4.822,-2.380
0.065,-0.100,1.011,11.292,-4.944,-0.610
0.070,-0.099,1.010,10.010,-4.150,0.244
0.081,-0.105,1.004,7.202,-3.113,0.793
0.082,-0.115,1.000,3.662,-2.563,1.892
0.068,-0.120,0.984,0.854,-2.319,3.235
0.052,-0.128,0.962,-1.892,-1.709,3.784
0.038,-0.132,0.944,-3.418,-1.343,3.784
0.025,-0.130,0.926,-3.235,-1.526,2.930
0.021,-0.127,0.917,-2.014,-1.404,1.282
0.020,-0.127,0.916,0.366,-1.404,-0.122
0.025,-0.131,0.924,3.052,-1.282,-1.099
0.030,-0.131,0.938,4.395,-0.854,-1.953
0.037,-0.131,0.947,4.517,0.000,-2.563
0.051,-0.132,0.952,3.967,0.610,-3.052
0.058,-0.131,0.955,3.052,1.282,-3.113
0.070,-0.126,0.957,2.258,1.831,-2.747
0.081,-0.130,0.957,2.197,1.465,-2.014
0.085,-0.132,0.955,1.343,0.488,-0.549
0.074,-0.128,0.950,-0.122,0.549,1.221
0.064,-0.125,0.949,-1.404,1.038,2.380
0.060,-0.124,0.943,-2.441,1.953,2.441
0.057,-0.118,0.939,-2.380,2.441,2.319
0.056,-0.114,0.938,-1.221,2.686,2.258
0.050,-0.115,0.945,0.549,2.930,1.831
0.048,-0.118,0.959,2.014,2.930,0.916
0.055,-0.119,0.966,3.296,2.686,-0.122
0.060,-0.121,0.972,3.906,2.502,-0.916
0.060,-0.126,0.982,4.700,2.380,-0.732
0.061,-0.132,0.985,5.249,1.343,-0.183
0.052,-0.140,0.993,4.822,-0.122,0.488
0.045,-0.144,0.997,3.357,-0.977,0.488
0.038,-0.143,0.991,1.343,-0.916,0.305
0.039,-0.142,0.984,-0.916,-0.244,-0.427
0.042,-0.132,0.972,-2.808,0.427,-1.099
0.046,-0.129,0.964,-3.357,0.549,-1.221
0.044,-0.127,0.957,-2.991,0.488,-1.343
0.041,-0.131,0.959,-1.892,0.122,-1.404
0.323,1.991,0.840,69.702,-18.677,10.620
0.435,1.957,1.000,106.934,-39.734,29.358
0.470,1.806,1.323,132.202,-57.068,52.490
0.598,1.597,1.588,130.554,-65.308,77.393
0.714,1.371,1.788,99.915,-60.913,104.065
0.758,1.067,1.893,45.227,-48.889,130.859
0.869,0.766,1.795,-20.752,-33.386,156.189
0.902,0.507,1.553,-79.041,-20.996,179.871
0.753,0.205,1.205,-113.525,-18.677,199.036
0.568,-0.157,0.901,-117.371,-22.217,205.505
0.478,-0.508,0.654,-93.872,-26.306,194.763
0.465,-0.841,0.578,-53.040,-31.555,171.936
0.515,-1.219,0.637,-11.047,-35.950,149.841
0.538,-1.604,0.771,12.268,-35.339,136.230
0.507,-1.904,0.911,12.207,-28.320,129.333
0.476,-2.197,0.974,-6.104,-16.968,123.657
0.457,-2.541,0.972,-35.950,-3.174,118.896
0.355,-2.834,0.927,-66.895,13.245,117.676
1.086,-4.000,3.135,-103.149,32.593,115.051
-2.544,-2.361,-0.227,-304.932,122.864,27.405
-1.133,-1.562,-0.556,-280.823,107.117,-58.044
0.871,-3.067,0.649,14.160,-23.682,-59.509
0.249,-3.856,2.054,128.479,-52.917,-62.622
-0.168,-2.755,0.636,0.366,17.822,-45.410
-0.323,-2.287,0.641,-68.115,25.452,-65.125
-0.101,-2.125,0.807,-69.397,16.113,-103.088
0.127,-1.811,0.765,-40.222,24.292,-131.042
0.197,-1.562,0.861,-17.944,32.776,-146.362
0.272,-1.340,1.003,-18.677,35.034,-154.846
0.404,-1.021,1.088,-20.630,32.410,-159.546
0.562,-0.691,1.143,-15.503,28.442,-161.926
0.683,-0.436,1.201,-3.418,20.691,-160.034
0.781,-0.207,1.248,9.644,11.108,-152.222
0.843,0.083,1.283,21.484,4.517,-140.381
0.910,0.373,1.305,32.471,0.061,-129.272
0.945,0.625,1.309,41.809,-3.784,-116.394
0.909,0.875,1.264,46.082,-6.775,-101.440
0.814,1.135,1.192,44.861,-8.118,-87.891
0.719,1.318,1.119,42.053,-8.301,-75.867
0.634,1.483,1.069,37.903,-5.005,-61.768
0.624,1.545,1.023,34.363,-0.916,-46.997
0.549,1.547,1.055,31.738,-3.662,-39.001
0.474,1.509,1.060,28.015,-9.460,-32.654
0.389,1.516,1.029,21.606,-15.015,-31.067
0.335,1.522,0.971,18.738,-20.020,-29.968
0.286,1.442,0.915,22.034,-22.034,-26.001
0.258,1.330,0.892,28.259,-21.790,-20.935
0.239,1.164,0.910,34.424,-20.935,-12.878
0.192,1.007,0.926,35.156,-19.348,-2.869
0.143,0.851,0.924,29.785,-17.517,6.897
0.096,0.710,0.890,20.813,-15.442,14.648
0.052,0.563,0.845,10.437,-11.658,20.142
0.018,0.429,0.811,2.197,-7.568,22.888
-0.009,0.300,0.792,-1.770,-6.531,23.132
-0.031,0.165,0.779,-1.709,-7.446,21.729
-0.043,0.034,0.797,1.221,-9.399,18.372
-0.034,-0.061,0.830,5.737,-10.071,15.686
-0.031,-0.155,0.884,9.155,-13.611,13.000
-0.046,-0.238,0.922,9.155,-19.470,9.094
-0.047,-0.273,0.921,3.906,-18.250,5.615
-0.045,-0.271,0.896,-2.625,-13.428,2.441
-0.041,-0.257,0.872,-7.629,-8.911,-0.732
-0.041,-0.252,0.873,-10.437,-6.226,-3.052
-0.023,-0.240,0.878,-11.597,-5.493,-4.639
