aX,aY,aZ,gX,gY,gZ
0.536,-1.297,1.112,-70.923,-13.428,8.362
0.670,-1.261,1.242,-88.562,-15.869,-10.132
0.726,-1.169,1.373,-100.403,-23.010,-36.926
0.765,-1.040,1.469,-102.234,-32.410,-68.970
0.717,-0.870,1.507,-89.600,-42.664,-101.074
0.695,-0.661,1.507,-63.171,-51.453,-129.211
0.684,-0.362,1.445,-28.931,-53.040,-151.978
0.637,-0.101,1.243,9.338,-48.462,-171.326
0.543,0.088,1.022,47.180,-43.030,-184.570
0.520,0.346,0.749,75.562,-37.476,-186.768
0.434,0.524,0.572,88.257,-30.396,-179.565
0.411,0.677,0.352,78.125,-23.437,-164.429
0.418,0.935,0.766,45.593,-18.860,-142.944
0.348,1.199,0.634,31.860,-1.282,-123.108
0.312,1.435,0.773,16.113,1.953,-101.807
-1.785,4.000,-4.000,-123.169,-29.663,-80.811
-0.606,1.979,1.432,-706.299,-266.357,-13.611
-1.444,1.947,1.254,-760.864,-156.067,162.231
-0.063,2.492,1.712,-609.985,-36.377,186.584
0.723,2.691,1.474,-219.116,80.750,151.062
0.954,2.054,1.007,127.380,118.774,109.680
0.426,2.481,0.113,294.556,134.277,92.773
0.134,2.357,0.289,276.917,106.384,35.461
0.114,1.750,0.130,238.037,85.327,-24.841
-0.055,1.503,0.063,218.567,86.609,-27.588
0.005,1.452,0.151,203.064,81.238,-13.000
0.182,1.323,0.248,174.255,63.782,-16.785
0.246,1.134,0.414,126.160,37.292,-25.452
0.284,0.994,0.791,79.224,10.742,-23.315
0.351,0.850,1.067,53.711,-3.906,-13.672
0.400,0.726,1.231,46.570,-9.033,-3.479
0.448,0.563,1.320,52.002,-7.446,3.357
0.443,0.329,1.266,65.918,0.488,9.827
0.356,0.079,1.206,77.209,7.324,18.005
0.304,-0.106,1.170,79.895,12.817,28.809
0.298,-0.255,1.156,73.425,18.738,41.077
0.320,-0.382,1.116,61.584,22.888,54.749
0.354,-0.492,1.123,47.119,22.400,68.542
0.384,-0.594,1.141,35.950,19.836,79.895
0.404,-0.693,1.130,31.677,16.418,87.585
0.446,-0.765,1.103,33.936,13.550,90.271
0.440,-0.825,1.033,40.710,12.939,85.205
0.388,-0.907,0.946,46.570,10.742,73.730
0.316,-0.950,0.894,49.133,5.188,61.646
0.246,-0.935,0.870,49.561,2.258,51.208
0.175,-0.907,0.842,47.913,2.258,42.786
0.124,-0.878,0.825,42.419,2.014,39.185
0.114,-0.829,0.821,33.203,-0.183,39.673
0.119,-0.763,0.817,22.400,-2.258,40.710
0.126,-0.698,0.840,11.414,-2.502,39.368
0.162,-0.593,0.873,2.197,-0.122,36.499
0.197,-0.468,0.905,-4.089,2.258,31.799
0.195,-0.359,0.940,-7.629,2.380,26.001
0.205,-0.286,0.955,-8.179,1.404,20.935
0.190,-0.240,0.972,-5.737,-0.854,17.578
0.162,-0.211,0.970,-1.648,-1.465,16.174
0.139,-0.192,0.956,4.761,-0.366,16.418
0.138,-0.170,0.924,12.573,0.854,19.104
0.149,-0.149,0.870,19.958,2.625,23.315
0.167,-0.130,0.839,22.644,3.784,25.940
0.179,-0.096,0.824,21.057,3.845,26.855
0.181,-0.065,0.823,17.578,2.686,26.489
0.191,-0.044,0.836,13.062,1.282,25.146
0.219,-0.027,0.856,8.057,0.061,23.621
0.239,-0.010,0.869,3.906,-1.160,21.667
0.253,-0.000,0.895,-0.366,-2.197,17.395
0.248,0.010,0.926,-4.272,-2.563,11.841
0.236,0.026,0.953,-7.202,-2.563,6.775
0.239,0.054,0.983,-8.484,-2.136,2.563
0.235,0.090,1.006,-9.033,-2.136,-1.221
0.199,0.134,1.052,-7.690,-2.563,-4.028
0.168,0.159,1.071,-2.869,-1.587,-6.348
0.156,0.166,1.054,3.784,1.953,-7.202
0.144,0.159,1.033,9.399,4.456,-6.653
0.135,0.149,1.018,12.878,4.639,-4.822
0.127,0.136,1.000,14.648,4.822,-2.747
0.125,0.117,0.980,15.259,4.578,-0.183
0.128,0.088,0.965,14.160,4.150,2.930
0.137,0.068,0.952,11.902,3.418,6.470
0.164,0.041,0.952,9.216,3.174,9.033
0.201,0.025,0.950,6.531,2.869,10.071
0.221,0.010,0.945,3.723,1.953,8.789
0.227,-0.008,0.949,0.488,0.244,5.066
0.235,-0.002,0.956,-2.075,-1.648,1.221
0.236,0.008,0.965,-3.235,-2.380,-2.502
0.222,0.018,0.969,-2.747,-1.831,-6.653
0.211,0.033,0.964,-2.441,-0.793,-10.193
0.198,0.057,0.969,-3.113,-0.977,-12.024
0.179,0.078,0.978,-3.723,-1.221,-12.878
0.162,0.096,0.977,-3.601,-0.793,-13.000
0.153,0.108,0.976,-3.174,0.061,-12.207
0.143,0.118,0.973,-2.930,0.671,-10.742
0.134,0.122,0.971,-2.380,1.160,-8.972
0.129,0.125,0.970,-1.526,1.648,-6.714
0.130,0.128,0.955,-0.610,1.892,-4.211
0.132,0.115,0.962,0.122,1.953,-2.380
0.129,0.101,0.967,0.610,2.319,-0.305
0.138,0.105,0.962,1.221,3.784,2.869
0.164,0.108,0.953,2.380,5.005,5.371
0.186,0.094,0.952,3.235,3.784,5.981
0.196,0.078,0.962,2.869,0.793,5.432
0.199,0.065,0.981,1.770,-1.648,4.761
0.201,0.058,0.989,0.427,-2.625,4.089
0.191,0.053,0.991,-0.549,-2.869,3.540
0.188,0.059,0.993,-0.488,-2.625,3.540
0.194,0.060,0.985,0.610,-2.502,2.808
0.191,0.051,0.982,1.831,-2.869,1.709
0.185,0.044,0.972,2.502,-2.930,1.038
0.176,0.042,0.963,2.625,-2.869,0.305
0.170,0.044,0.954,2.136,-2.625,-0.366
0.166,0.050,0.948,1.099,-2.319,-0.488
0.159,0.060,0.943,-0.427,-2.197,-0.244
0.152,0.063,0.935,-1.709,-2.014,-0.122
0.150,0.069,0.937,-2.747,-1.831,0.427
0.150,0.077,0.939,-3.662,-1.648,1.465
0.146,0.075,0.943,-3.845,-1.160,2.075
0.151,0.073,0.950,-2.930,0.183,4.028
0.169,0.067,0.960,-2.075,1.160,4.272
0.177,0.067,0.962,-1.648,1.526,4.517
0.406,-1.597,1.132,-49.988,-4.272,63.843
0.651,-1.675,1.236,-56.396,-8.118,54.321
0.869,-1.647,1.332,-56.091,-15.930,24.902
1.003,-1.577,1.438,-44.861,-27.405,-19.348
1.026,-1.475,1.472,-22.339,-36.499,-70.496
0.994,-1.346,1.385,6.104,-39.734,-118.835
0.946,-1.219,1.251,33.142,-39.124,-159.180
0.881,-1.023,1.130,50.415,-36.499,-188.782
0.897,-0.738,1.028,56.213,-30.701,-207.886
0.945,-0.382,0.935,49.805,-20.996,-221.069
0.851,-0.021,0.861,33.508,-14.771,-231.506
0.731,0.341,0.778,13.611,-19.043,-231.506
0.641,0.734,0.773,-5.798,-33.203,-217.529
0.526,1.061,0.820,-18.616,-48.157,-197.388
0.364,1.312,0.891,-19.775,-56.824,-179.626
0.250,1.639,0.997,-8.240,-53.955,-160.767
0.174,2.016,1.020,12.756,-39.856,-139.587
0.097,2.317,1.008,37.231,-22.522,-119.690
0.072,2.581,1.047,52.307,-8.545,-97.534
1.268,4.000,0.843,49.500,-0.305,-62.317
-2.167,-0.113,1.055,-1.282,0.916,-1.587
-0.566,1.450,1.609,48.828,17.822,62.805
0.032,2.582,1.011,137.817,54.688,127.441
0.655,4.000,0.692,84.106,93.750,162.231
0.669,2.945,0.219,58.167,65.918,80.750
-0.083,2.027,0.548,79.529,-8.484,42.847
-0.376,1.821,0.717,58.960,-36.377,78.064
-0.097,1.708,0.779,34.546,-18.677,116.211
0.323,1.406,0.733,32.410,7.446,138.794
0.523,0.957,0.800,27.588,14.160,140.503
0.632,0.644,0.930,5.371,4.150,132.568
0.719,0.443,1.097,-15.381,-5.249,122.803
0.790,0.208,1.201,-22.644,-7.874,107.849
0.808,-0.026,1.231,-22.522,-5.432,88.379
0.765,-0.274,1.250,-20.142,-5.920,71.716
0.635,-0.520,1.295,-15.320,-12.024,61.829
0.498,-0.792,1.300,-6.104,-14.771,59.448
0.399,-1.098,1.239,2.930,-10.376,65.186
0.400,-1.359,1.163,4.883,-3.967,77.820
0.480,-1.513,1.090,-2.319,-0.427,90.820
0.571,-1.595,1.018,-13.672,-0.671,94.299
0.637,-1.575,0.965,-27.954,-5.615,85.815
0.629,-1.454,0.943,-40.405,-12.512,66.101
0.511,-1.324,0.937,-47.791,-16.785,38.269
0.370,-1.179,0.947,-49.683,-20.508,12.207
0.184,-1.018,0.977,-45.532,-23.621,-8.179
-0.008,-0.884,0.998,-34.607,-24.048,-19.775
-0.182,-0.783,0.994,-21.606,-23.254,-17.517
-0.249,-0.700,0.974,-11.230,-23.132,-2.136
-0.201,-0.631,0.963,-5.127,-21.973,19.165
-0.090,-0.552,0.974,-1.709,-19.165,36.743
0.015,-0.464,0.976,1.831,-16.846,46.753
0.088,-0.407,0.962,6.653,-15.869,48.950
0.131,-0.366,0.933,12.451,-13.000,44.983
0.162,-0.319,0.888,17.639,-5.066,36.560
0.186,-0.269,0.838,20.020,1.831,25.818
0.173,-0.229,0.816,18.188,3.113,15.259
0.142,-0.182,0.814,13.855,0.244,7.385
0.111,-0.150,0.810,9.521,0.122,2.258
0.089,-0.124,0.784,6.714,4.150,0.061
0.092,-0.076,0.722,4.944,8.850,1.404
0.098,-0.049,0.682,2.686,10.254,4.028
0.093,-0.010,0.670,-3.784,7.568,7.446
0.089,0.052,0.720,-13.428,0.427,11.047
0.067,0.106,0.815,-21.423,-5.981,13.550
0.087,0.132,0.890,-23.682,-8.484,14.465
0.107,0.149,0.958,-22.156,-8.789,13.245
0.115,0.147,1.024,-17.883,-8.118,9.644
0.102,0.131,1.071,-10.437,-5.127,5.371
0.075,0.111,1.097,-1.160,-0.916,1.953
0.096,0.075,1.081,7.385,5.005,-0.244
0.098,0.051,1.051,11.719,9.277,-1.038
0.093,0.040,1.055,11.353,8.972,-1.648
0.078,0.042,1.045,9.644,8.423,-2.014
0.079,0.040,1.031,8.362,8.728,-2.136
0.077,0.041,1.022,7.141,7.690,-2.014
0.059,0.052,1.019,6.470,6.592,-1.221
0.055,0.055,1.007,7.263,5.920,0.610
0.068,0.058,0.996,9.277,5.920,2.686
0.082,0.052,0.981,11.597,7.080,4.211
0.105,0.046,0.959,13.733,8.484,5.249
0.129,0.028,0.945,14.404,8.362,4.822
0.139,0.024,0.946,13.062,6.470,3.601
0.135,0.021,0.963,10.620,3.723,1.343
0.125,0.031,0.975,8.667,2.014,-1.282
0.110,0.050,0.981,7.507,1.648,-3.052
0.088,0.062,0.988,6.165,1.404,-4.944
0.068,0.070,0.990,5.615,1.160,-5.554
0.058,0.075,0.996,5.371,1.160,-5.371
0.054,0.081,0.996,5.859,1.465,-4.211
0.060,0.073,0.990,7.507,1.892,-3.357
0.060,0.057,0.976,8.606,2.991,-2.747
0.069,0.043,0.956,8.850,4.089,-2.502
0.075,0.029,0.942,7.751,4.639,-2.808
0.077,0.025,0.934,5.005,4.822,-3.235
0.078,0.020,0.930,1.099,5.005,-3.357
0.084,0.014,0.933,-3.113,3.967,-3.418
0.093,0.021,0.947,-6.897,2.625,-3.540
0.106,0.026,0.971,-9.949,1.221,-3.784
0.103,0.036,0.987,-11.230,0.244,-4.639
0.099,0.038,1.000,-10.437,0.244,-5.554
0.098,0.049,1.005,-8.545,0.610,-5.554
0.098,0.064,1.013,-6.287,0.610,-5.127
0.090,0.071,1.013,-4.150,0.793,-4.822
0.078,0.067,1.014,-2.258,0.916,-4.578
0.068,0.064,1.013,-0.916,0.916,-3.540
0.065,0.066,1.005,0.244,1.221,-2.197
0.066,0.056,0.994,1.953,1.953,-0.793
0.071,0.050,0.977,2.930,2.380,0.916
0.069,0.052,0.967,2.747,1.831,2.563
0.067,0.044,0.956,2.075,1.587,3.601
0.071,0.038,0.948,1.038,1.770,4.456
0.081,0.032,0.946,-0.549,1.709,5.188
0.089,0.031,0.953,-2.014,1.648,5.859
0.100,0.026,0.958,-2.991,1.526,5.554
0.101,0.022,0.967,-3.601,1.160,4.333
0.102,0.022,0.979,-3.784,0.000,3.479
0.101,0.028,0.992,-3.723,-0.305,2.502
0.104,0.032,0.997,-2.197,0.183,1.343
0.229,1.757,1.250,9.155,3.723,-124.756
0.070,2.124,1.448,0.732,-1.465,-107.971
0.025,2.367,1.619,0.732,-3.906,-81.055
0.024,2.582,1.742,10.681,-5.676,-48.645
-0.008,2.703,1.742,33.447,-6.348,-23.193
0.051,3.997,1.403,65.552,-4.272,-13.489
-0.299,1.404,1.467,92.407,-10.498,-51.270
-0.359,1.799,0.917,136.108,-9.521,7.385
-0.181,2.771,0.759,113.464,-4.272,69.824
-0.146,1.846,0.461,76.843,-13.306,31.738
-0.439,1.651,0.567,46.692,-32.654,33.997
-0.413,1.608,0.663,11.536,-40.649,64.026
-0.240,1.437,0.773,-15.076,-33.691,90.271
-0.046,1.233,0.950,-21.362,-21.179,113.159
0.111,0.979,1.055,-17.029,-0.488,123.413
0.266,0.720,1.091,-9.949,20.752,126.038
0.513,0.484,1.110,-6.592,28.809,126.282
0.689,0.255,1.173,-10.498,20.264,122.437
0.819,0.031,1.213,-19.165,5.127,110.962
0.878,-0.116,1.231,-32.104,-6.592,89.844
0.820,-0.260,1.266,-47.180,-15.991,63.904
0.692,-0.419,1.298,-57.495,-24.597,43.335
0.515,-0.565,1.313,-57.190,-29.846,34.668
0.384,-0.726,1.296,-47.485,-29.663,35.034
0.300,-0.898,1.252,-34.790,-23.254,40.100
0.281,-1.043,1.162,-25.391,-13.184,48.157
0.286,-1.129,1.093,-23.071,-7.996,56.030
0.299,-1.156,1.061,-27.222,-10.193,59.937
0.305,-1.140,1.048,-35.095,-15.320,58.777
0.290,-1.102,1.040,-42.542,-21.484,54.382
0.275,-1.038,1.017,-46.082,-27.588,47.424
0.236,-0.981,0.983,-44.312,-30.518,37.720
0.190,-0.929,0.940,-38.635,-28.870,25.452
0.125,-0.856,0.886,-31.738,-25.452,14.648
0.043,-0.780,0.846,-25.757,-24.658,7.812
-0.012,-0.702,0.828,-21.423,-25.879,5.737
-0.052,-0.625,0.809,-17.944,-25.757,6.714
-0.077,-0.570,0.795,-13.245,-23.437,9.888
-0.079,-0.542,0.768,-7.141,-18.433,13.245
-0.063,-0.514,0.743,-2.686,-12.268,16.357
-0.032,-0.464,0.729,-0.122,-6.409,18.127
-0.042,-0.430,0.709,1.526,-1.343,17.822
-0.059,-0.408,0.692,1.404,2.625,17.273
-0.059,-0.370,0.681,-0.244,5.798,18.494
-0.050,-0.335,0.669,-1.282,8.972,20.264
-0.030,-0.297,0.659,-1.160,12.024,21.606
-0.009,-0.251,0.668,-1.831,12.451,22.217
-0.007,-0.208,0.710,-3.357,9.827,22.339
0.000,-0.164,0.766,-4.272,5.859,21.851
0.011,-0.134,0.826,-4.456,2.808,20.508
0.022,-0.116,0.884,-3.784,1.465,17.639
0.034,-0.093,0.929,-1.770,1.648,14.038
0.053,-0.070,0.982,0.305,2.319,8.972
0.055,-0.051,1.026,2.014,3.052,2.747
0.054,-0.037,1.051,3.967,4.211,-2.869
0.024,-0.028,1.070,6.470,5.615,-7.080
0.010,-0.017,1.062,8.057,6.836,-9.338
-0.000,-0.017,1.078,7.690,6.897,-10.376
-0.001,-0.005,1.071,6.897,7.080,-10.437
-0.007,0.009,1.059,6.531,8.301,-9.033
0.002,0.019,1.038,6.104,8.423,-7.324
0.012,0.030,1.022,5.188,7.996,-5.371
0.021,0.040,1.005,3.479,7.507,-4.578
0.024,0.045,0.998,1.343,6.409,-4.333
0.033,0.049,0.999,-0.732,4.211,-4.395
0.038,0.053,1.005,-2.197,2.014,-4.883
0.035,0.053,1.016,-2.747,0.977,-5.859
0.030,0.056,1.015,-2.319,1.770,-5.981
